證券名單
截 至 26/01/2026
股份代號	股份名稱（繁體）	股份名称（简体）
712	卡姆丹克太陽能	卡姆丹克太阳能
713	世界（集團）	世界（集团）
716	勝獅貨櫃	胜狮货柜
717	英皇資本	英皇资本
718	太和控股	太和控股
719	山東新華製藥股份	山东新华制药股份
720	意達利控股	意达利控股
721	中國金融國際	中国金融国际
722	聯合醫務	联合医务
723	信保環球控股	信保环球控股
724	瑞鑫國際集團	瑞鑫国际集团
725	恆都集團	恒都集团
726	築友智造科技	筑友智造科技
727	皇冠環球集團	皇冠环球集团
728	中國電信	中国电信
730	首惠產業金融	首惠产业金融
731	建發新勝	建发新胜
732	信利國際	信利国际
733	合富輝煌	合富辉煌
736	中國置業投資	中国置业投资
737	灣區發展	湾区发展
738	萊爾斯丹	莱尔斯丹
743	亞洲水泥（中國）	亚洲水泥（中国）
745	中國國家文化產業	中国国家文化产业
746	理文化工	理文化工
747	瀋陽公用發展股份	沈阳公用发展股份
750	水發興業能源	水发兴业能源
751	創維集團	创维集团
752	PICO FAR EAST	PICO FAR EAST
753	中國國航	中国国航
754	合生創展集團	合生创展集团
755	大方廣瑞德	大方广瑞德
756	森美控股	森美控股
757	陽光能源	阳光能源
759	CEC INT'L HOLD	CEC INT'L HOLD
760	新天地產集團	新天地产集团
762	中國聯通	中国联通
763	中興通訊	中兴通讯
764	永恒策略	永恒策略
765	PERFECTECH INTL	PERFECTECH INTL
767	中基長壽科學	中基长寿科学
768	開明投資	开明投资
769	中國稀土	中国稀土
770	SHANGHAI GROWTH	SHANGHAI GROWTH
771	自動系統	自动系统
772	閱文集團	阅文集团
775	長江生命科技	长江生命科技
776	帝國科技集團	帝国科技集团
777	網龍	网龙
778	置富產業信託	置富产业信托
780	同程旅行	同程旅行
784	凌銳控股	凌锐控股
788	中國鐵塔	中国铁塔
789	雅天妮集團	雅天妮集团
794	錦勝集團（控股）	锦胜集团（控股）
797	第七大道	第七大道
798	中電光谷	中电光谷
799	IGG	IGG
800	文遠知行-W	文远知行-W
802	中國錢包	中国钱包
804	鼎石資本	鼎石资本
805	新吉奧房車	新吉奥房车
806	惠理集團	惠理集团
807	上海實業環境	上海实业环境
808	泓富產業信託	泓富产业信托
809	大成生化科技	大成生化科技
810	中國鑄晨81	中国铸晨81
811	新華文軒	新华文轩
