310	RGEN	Repligen Corporation	9.14B	162.33	-3.33%	707.89M
311	GGAL	Grupo Financiero Galicia S.A.	9.12B	53.74	-0.06%	3.63B
312	HSIC	Henry Schein, Inc.	9.09B	77.21	-1.61%	12.94B
313	BZ	Kanzhun Limited	8.98B	19.26	1.10%	1.13B
314	SITM	SiTime Corporation	8.95B	342.90	-5.47%	281.49M
315	SFD	Smithfield Foods, Inc.	8.94B	22.75	-1.52%	15.26B
316	DOX	Amdocs Limited	8.92B	82.66	-0.59%	4.53B
317	AUR	Aurora Innovation, Inc.	8.86B	4.580	-6.15%	2.00M
318	SWKS	Skyworks Solutions, Inc.	8.77B	58.96	-1.19%	4.09B
319	ZION	Zions Bancorporation, National Association	8.72B	59.08	-3.20%	3.31B
320	LKQ	LKQ Corporation	8.71B	34.04	-0.23%	14.10B
321	STEP	StepStone Group Inc.	8.71B	73.07	-3.08%	1.54B
322	MORN	Morningstar, Inc.	8.67B	210.90	-1.45%	2.40B
323	TTAN	ServiceTitan, Inc.	8.66B	92.49	2.18%	916.26M
324	PRAX	Praxis Precision Medicines, Inc.	8.65B	311.71	2.41%	7.46M
325	PEGA	Pegasystems Inc.	8.55B	50.38	0.50%	1.73B
326	GDS	GDS Holdings Limited	8.53B	42.59	1.09%	1.57B
327	COLB	Columbia Banking System, Inc.	8.53B	28.88	-2.66%	2.15B
328	IDCC	InterDigital, Inc.	8.51B	330.52	0.12%	928.59M
329	HLNE	Hamilton Lane Incorporated	8.45B	149.45	-1.74%	733.07M
330	NUVL	Nuvalent, Inc.	8.27B	106.44	-4.96%	-
331	GSAT	Globalstar, Inc.	8.24B	64.97	-1.07%	262.20M
332	BTSG	BrightSpring Health Services, Inc.	8.19B	39.64	0.10%	13.30B
333	EQPT	EquipmentShare.com Inc.	8.18B	32.56	32.90%	4.36B
334	KRYS	Krystal Biotech, Inc.	8.16B	281.53	-2.63%	373.16M
335	HALO	Halozyme Therapeutics, Inc.	8.14B	69.22	-2.90%	1.24B
336	BPOP	Popular, Inc.	8.13B	121.97	-3.66%	2.88B
